"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.10","192.168.1.30","CIP","134","'HMI_PLANT_RESET' - Service (0x4d)"
"2","0.000009","192.168.1.40","192.168.1.50","TCP","64","53056  >  44818 [ACK] Seq=1 Ack=1 Win=8130 Len=0"
"3","0.000012","192.168.1.10","192.168.1.30","CIP CM","128","Unconnected Send: 'HMI_LIT301' - Service (0x4c)"
"4","0.000169","192.168.1.30","192.168.1.10","TCP","64","44818  >  54086 [ACK] Seq=1 Ack=77 Win=8116 Len=0"
"5","0.000179","192.168.1.50","192.168.1.20","CIP","148","Success: Service (0x4c)"
"6","0.000183","192.168.1.30","192.168.1.10","TCP","64","44818  >  54086 [ACK] Seq=1 Ack=147 Win=8046 Len=0"
"7","0.000186","192.168.1.50","192.168.1.20","CIP","148","Success: Service (0x4c)"
"8","0.000345","192.168.1.20","192.168.1.50","TCP","64","52992  >  44818 [ACK] Seq=1 Ack=91 Win=8102 Len=0"
"9","0.000355","192.168.1.50","192.168.1.20","CIP","148","Success: Service (0x4c)"
"10","0.000358","192.168.1.20","192.168.1.50","TCP","64","52992  >  44818 [ACK] Seq=1 Ack=181 Win=8012 Len=0"
"11","0.000361","192.168.1.50","192.168.1.20","CIP","148","Success: Service (0x4c)"
"12","0.000586","192.168.1.20","192.168.1.50","TCP","64","52992  >  44818 [ACK] Seq=1 Ack=271 Win=8012 Len=0"
"13","0.000596","192.168.1.20","192.168.1.50","TCP","64","52992  >  44818 [ACK] Seq=1 Ack=361 Win=7946 Len=0"
"14","0.000599","192.168.1.20","192.168.1.10","CIP","108","Success: Service (0x4d)"
"15","0.000790","192.168.1.10","192.168.1.20","TCP","64","54084  >  44818 [ACK] Seq=1 Ack=51 Win=8142 Len=0"
"16","0.001094","192.168.1.20","192.168.1.50","CIP I/O","90","Connection: ID=0x00CD4016, SEQ=0001637049"
"17","0.001101","192.168.1.50","239.192.7.63","CIP I/O","102","Connection: ID=0x004D8000, SEQ=0001653685"
"18","0.001442","192.168.1.60","192.168.1.10","CIP","108","Success: Service (0x4d)"
"19","0.001448","192.168.1.70","192.168.1.10","CIP I/O","90","Connection: ID=0x004D4017, SEQ=0001649369"
"20","0.001450","192.168.1.60","192.168.1.10","CIP","116","Success: Service (0x4c)"
"21","0.001452","192.168.1.10","192.168.1.60","TCP","64","54082  >  44818 [ACK] Seq=1 Ack=51 Win=8142 Len=0"
"22","0.001455","192.168.1.40","192.168.1.10","CIP","108","Success: Service (0x4d)"
"23","0.001457","192.168.1.70","192.168.1.20","CIP I/O","90","Connection: ID=0x003C4007, SEQ=0001648672"
"24","0.001681","192.168.1.10","192.168.1.60","TCP","64","54082  >  44818 [ACK] Seq=1 Ack=109 Win=8134 Len=0"
"25","0.001687","192.168.1.60","192.168.1.30","CIP","152","Success: Service (0x4c)"
"26","0.001689","192.168.1.10","192.168.1.40","TCP","64","54088  >  44818 [ACK] Seq=1 Ack=51 Win=8142 Len=0"
"27","0.001690","192.168.1.30","192.168.1.60","TCP","64","52416  >  44818 [ACK] Seq=1 Ack=95 Win=8098 Len=0"
"28","0.002545","192.168.1.30","192.168.1.10","CIP","108","Success: Service (0x4d)"
"29","0.002551","192.168.1.30","192.168.1.10","CIP","116","Success: Service (0x4c)"
"30","0.002553","192.168.1.10","192.168.1.30","TCP","64","54086  >  44818 [ACK] Seq=147 Ack=51 Win=8142 Len=0"
"31","0.002558","192.168.1.10","192.168.1.20","CIP I/O","90","Connection: ID=0x00BC4017, SEQ=0001625153"
"32","0.002560","192.168.1.10","192.168.1.30","TCP","64","54086  >  44818 [ACK] Seq=147 Ack=109 Win=8084 Len=0"
"33","0.003348","192.168.1.200","192.168.1.60","CIP","112","Class (0xb2) - Service (0x4c)"
"34","0.003355","192.168.1.60","192.168.1.200","TCP","64","44818  >  56584 [ACK] Seq=1 Ack=55 Win=8138 Len=0"
"35","0.004330","192.168.1.50","192.168.1.40","CIP I/O","90","Connection: ID=0x003D4007, SEQ=0001630250"
"36","0.004337","192.168.1.200","192.168.1.50","CIP","112","Class (0xb2) - Service (0x4c)"
"37","0.004615","192.168.1.50","192.168.1.200","TCP","64","44818  >  56574 [ACK] Seq=1 Ack=55 Win=8138 Len=0"
"38","0.004621","192.168.1.20","192.168.1.60","CIP","148","Success: Service (0x4c)"
"39","0.004623","192.168.1.10","192.168.1.20","CIP","132","'HMI_PLANT_AUTO' - Service (0x4d)"
"40","0.004625","192.168.1.20","192.168.1.10","CIP","156","Success: Service (0x4c)"
"41","0.004628","192.168.1.60","192.168.1.20","TCP","64","52418  >  44818 [ACK] Seq=1 Ack=91 Win=8102 Len=0"
"42","0.004835","192.168.1.10","192.168.1.50","CIP","132","'HMI_PLANT_AUTO' - Service (0x4d)"
"43","0.004842","192.168.1.20","192.168.1.10","TCP","64","44818  >  54084 [ACK] Seq=149 Ack=75 Win=8118 Len=0"
"44","0.004844","192.168.1.10","192.168.1.20","TCP","64","54084  >  44818 [ACK] Seq=75 Ack=149 Win=8094 Len=0"
"45","0.004848","192.168.1.50","192.168.1.10","TCP","64","44818  >  54080 [ACK] Seq=1 Ack=75 Win=8118 Len=0"
"46","0.004849","192.168.1.10","192.168.1.50","CIP","122","'HMI_P5_STATE' - Service (0x4c)"
"47","0.005065","192.168.1.50","192.168.1.10","TCP","64","44818  >  54080 [ACK] Seq=1 Ack=139 Win=8128 Len=0"
"48","0.005071","192.168.1.10","192.168.1.40","CIP","134","'HMI_PLANT_RESET' - Service (0x4d)"
"49","0.005073","192.168.1.30","192.168.1.40","CIP I/O","90","Connection: ID=0x01BD4016, SEQ=0001638691"
"50","0.005075","192.168.1.10","192.168.1.40","CIP","128","'HMI_P4_PERMISSIVE' - Service (0x4c)"
"51","0.005078","192.168.1.40","192.168.1.10","TCP","64","44818  >  54088 [ACK] Seq=51 Ack=77 Win=8116 Len=0"
"52","0.005303","192.168.1.40","192.168.1.10","TCP","64","44818  >  54088 [ACK] Seq=51 Ack=147 Win=8046 Len=0"
"53","0.005309","192.168.1.10","192.168.1.60","CIP","132","'HMI_PLANT_AUTO' - Service (0x4d)"
"54","0.005311","192.168.1.200","192.168.1.30","CIP","112","Class (0xb2) - Service (0x4c)"
"55","0.005599","192.168.1.60","192.168.1.10","TCP","64","44818  >  54082 [ACK] Seq=109 Ack=75 Win=8118 Len=0"
"56","0.005606","192.168.1.30","192.168.1.200","TCP","64","44818  >  56582 [ACK] Seq=1 Ack=55 Win=8138 Len=0"
"57","0.005607","192.168.1.40","192.168.1.50","CIP I/O","90","Connection: ID=0x014D4024, SEQ=0001636637"
"58","0.006242","192.168.1.10","192.168.1.60","CIP I/O","90","Connection: ID=0x00334011, SEQ=0001624079"
"59","0.006249","192.168.1.10","192.168.1.50","CIP I/O","90","Connection: ID=0x004D4015, SEQ=0001625153"
"60","0.006251","192.168.1.10","192.168.1.30","CIP I/O","90","Connection: ID=0x00334010, SEQ=0001624128"
"61","0.006253","192.168.1.200","192.168.1.10","CIP","112","Class (0xb2) - Service (0x4c)"
"62","0.006256","192.168.1.10","192.168.1.40","CIP I/O","90","Connection: ID=0x013D4010, SEQ=0001622874"
"63","0.006536","192.168.1.10","192.168.1.200","TCP","64","44818  >  56578 [ACK] Seq=1 Ack=55 Win=8138 Len=0"
"64","0.006542","192.168.1.60","192.168.1.10","CIP","108","Success: Service (0x4d)"
"65","0.006544","192.168.1.10","192.168.1.60","TCP","64","54082  >  44818 [ACK] Seq=75 Ack=159 Win=8142 Len=0"
"66","0.006546","192.168.1.20","239.192.3.127","CIP I/O","102","Connection: ID=0x003C8000, SEQ=0001653659"
"67","0.007158","192.168.1.60","192.168.1.200","CIP","598","Success: Class (0xb2) - Service (0x4c)"
"68","0.007444","192.168.1.60","192.168.1.20","CIP I/O","90","Connection: ID=0x01BC401A, SEQ=0001637119"
"69","0.007450","192.168.1.30","192.168.1.60","CIP I/O","90","Connection: ID=0x00B34012, SEQ=0001639434"
"70","0.007815","192.168.1.30","239.192.4.191","CIP I/O","102","Connection: ID=0x00338000, SEQ=0001652856"
"71","0.007823","192.168.1.30","192.168.1.10","CIP","102","Success: Service (0x4d)"
"72","0.007825","192.168.1.40","239.192.5.255","CIP I/O","102","Connection: ID=0x003D8000, SEQ=0001651934"
"73","0.007829","192.168.1.200","192.168.1.20","CIP","112","Class (0xb2) - Service (0x4c)"
"74","0.007832","192.168.1.30","192.168.1.20","CIP","130","'HMI_P_NAOCL_UF_DUTY' - Service (0x4c)"
"75","0.007915","192.168.1.10","192.168.1.30","TCP","64","54086  >  44818 [ACK] Seq=147 Ack=153 Win=8148 Len=0"
"76","0.007921","192.168.1.20","192.168.1.200","TCP","64","44818  >  56580 [ACK] Seq=1 Ack=55 Win=8138 Len=0"
"77","0.007922","192.168.1.30","192.168.1.20","CIP","134","'P2_P2078_AUTOINP' - Service (0x4d)"
"78","0.008140","192.168.1.20","192.168.1.30","TCP","64","44818  >  52418 [ACK] Seq=1 Ack=73 Win=8120 Len=0"
"79","0.008146","192.168.1.20","192.168.1.30","TCP","64","44818  >  52418 [ACK] Seq=1 Ack=149 Win=8044 Len=0"
"80","0.008148","192.168.1.30","192.168.1.40","CIP","120","'HMI_LIT401' - Service (0x4c)"
"81","0.008428","192.168.1.60","192.168.1.10","CIP I/O","90","Connection: ID=0x00CD4026, SEQ=0001636941"
"82","0.008434","192.168.1.40","192.168.1.30","TCP","64","44818  >  52420 [ACK] Seq=1 Ack=63 Win=8130 Len=0"
"83","0.008435","192.168.1.20","192.168.1.40","CIP I/O","90","Connection: ID=0x00BD4009, SEQ=0001635308"
"84","0.008796","192.168.1.60","239.192.8.127","CIP I/O","102","Connection: ID=0x00338000, SEQ=0001652358"
"85","0.008804","192.168.1.20","192.168.1.30","CIP I/O","90","Connection: ID=0x00B34013, SEQ=0001636074"
"86","0.009732","192.168.1.10","192.168.1.200","CIP","598","Success: Class (0xb2) - Service (0x4c)"
"87","0.009745","192.168.1.30","192.168.1.20","CIP I/O","90","Connection: ID=0x013C4018, SEQ=0001640422"
"88","0.009752","192.168.1.50","192.168.1.10","CIP","108","Success: Service (0x4d)"
"89","0.009757","192.168.1.10","239.192.2.63","CIP I/O","102","Connection: ID=0x004D8000, SEQ=0001654367"
"90","0.009760","192.168.1.20","192.168.1.10","CIP","108","Success: 'HMI_PLANT_AUTO' - Service (0x4d)"
"91","0.009764","192.168.1.10","192.168.1.50","TCP","64","54080  >  44818 [ACK] Seq=139 Ack=51 Win=8142 Len=0"
"92","0.009766","192.168.1.50","192.168.1.40","CIP","120","Success: Service (0x4c)"
"93","0.009879","192.168.1.50","192.168.1.40","CIP","120","Success: Service (0x4c)"
"94","0.009887","192.168.1.20","192.168.1.30","CIP","120","'HMI_LIT301' - Service (0x4c)"
"95","0.009889","192.168.1.10","192.168.1.20","TCP","64","54084  >  44818 [ACK] Seq=75 Ack=199 Win=8142 Len=0"
"96","0.009892","192.168.1.40","192.168.1.50","TCP","64","53056  >  44818 [ACK] Seq=1 Ack=63 Win=8130 Len=0"
"97","0.009903","192.168.1.20","192.168.1.30","CIP","120","'HMI_MV301' - Service (0x4c)"
"98","0.009904","192.168.1.40","192.168.1.50","TCP","64","53056  >  44818 [ACK] Seq=1 Ack=125 Win=8068 Len=0"
"99","0.010077","192.168.1.30","192.168.1.20","TCP","64","44818  >  52994 [ACK] Seq=1 Ack=63 Win=8130 Len=0"
"100","0.010083","192.168.1.30","192.168.1.20","TCP","64","44818  >  52994 [ACK] Seq=1 Ack=125 Win=8068 Len=0"
"101","0.010085","192.168.1.20","192.168.1.40","CIP","120","'HMI_AIT402' - Service (0x4c)"
"102","0.010289","192.168.1.40","192.168.1.20","TCP","64","44818  >  52996 [ACK] Seq=1 Ack=63 Win=8130 Len=0"
"103","0.010471","192.168.1.20","192.168.1.200","CIP","598","Success: Class (0xb2) - Service (0x4c)"
"104","0.010481","192.168.1.20","192.168.1.30","CIP","116","Success: 'HMI_P_NAOCL_UF_DUTY' - Service (0x4c)"
"105","0.010485","192.168.1.200","192.168.1.40","CIP","112","Class (0xb2) - Service (0x4c)"
"106","0.010495","192.168.1.30","192.168.1.20","TCP","64","52418  >  44818 [ACK] Seq=149 Ack=59 Win=8134 Len=0"
"107","0.010497","192.168.1.40","192.168.1.200","TCP","64","44818  >  56585 [ACK] Seq=1 Ack=55 Win=8138 Len=0"
"108","0.011307","192.168.1.50","239.192.7.63","CIP I/O","102","Connection: ID=0x004D8000, SEQ=0001653686"
"109","0.011326","192.168.1.20","192.168.1.50","CIP I/O","90","Connection: ID=0x00CD4016, SEQ=0001637050"
"110","0.011334","192.168.1.40","192.168.1.10","CIP","108","Success: Service (0x4d)"
"111","0.011336","192.168.1.70","192.168.1.10","CIP I/O","90","Connection: ID=0x004D4017, SEQ=0001649370"
"112","0.011337","192.168.1.10","192.168.1.40","TCP","64","54088  >  44818 [ACK] Seq=147 Ack=101 Win=8142 Len=0"
"113","0.011550","192.168.1.70","192.168.1.20","CIP I/O","90","Connection: ID=0x003C4007, SEQ=0001648673"
"114","0.011561","192.168.1.60","192.168.1.10","CIP","108","Success: 'HMI_PLANT_AUTO' - Service (0x4d)"
"115","0.011783","192.168.1.60","192.168.1.10","CIP","120","'HMI_LIT101' - Service (0x4c)"
"116","0.011795","192.168.1.10","192.168.1.60","TCP","64","54082  >  44818 [ACK] Seq=75 Ack=209 Win=8142 Len=0"
"117","0.011798","192.168.1.60","192.168.1.20","CIP","120","'HMI_AIT202' - Service (0x4c)"
"118","0.011806","192.168.1.10","192.168.1.60","TCP","64","44818  >  52416 [ACK] Seq=1 Ack=63 Win=8130 Len=0"
"119","0.012043","192.168.1.20","192.168.1.60","TCP","64","44818  >  52418 [ACK] Seq=91 Ack=63 Win=8130 Len=0"
"120","0.013110","192.168.1.10","192.168.1.20","CIP I/O","90","Connection: ID=0x00BC4017, SEQ=0001625154"
"121","0.013123","192.168.1.200","192.168.1.70","CIP","112","Class (0xb2) - Service (0x4c)"
"122","0.013477","192.168.1.70","192.168.1.200","TCP","64","44818  >  54613 [ACK] Seq=1 Ack=55 Win=8138 Len=0"
"123","0.014542","192.168.1.50","192.168.1.40","CIP I/O","90","Connection: ID=0x003D4007, SEQ=0001630251"
"124","0.014555","192.168.1.200","192.168.1.60","CIP","112","Class (0xb2) - Service (0x4c)"
"125","0.014562","192.168.1.60","192.168.1.200","TCP","64","44818  >  56584 [ACK] Seq=541 Ack=109 Win=8138 Len=0"
"126","0.014953","192.168.1.70","192.168.1.200","CIP","598","Success: Class (0xb2) - Service (0x4c)"
"127","0.014966","192.168.1.10","192.168.1.60","CIP","148","Success: 'HMI_LIT101' - Service (0x4c)"
"128","0.014973","192.168.1.60","192.168.1.10","TCP","64","52416  >  44818 [ACK] Seq=63 Ack=91 Win=8102 Len=0"
"129","0.015222","192.168.1.30","192.168.1.40","CIP I/O","90","Connection: ID=0x01BD4016, SEQ=0001638692"
"130","0.015233","192.168.1.20","192.168.1.30","CIP","108","Success: 'P2_P2078_AUTOINP' - Service (0x4d)"
"131","0.015236","192.168.1.10","192.168.1.20","CIP","128","'HMI_PLANT' - Service (0x4d)"
"132","0.015245","192.168.1.30","192.168.1.20","TCP","64","52418  >  44818 [ACK] Seq=149 Ack=109 Win=8142 Len=0"
"133","0.015246","192.168.1.10","192.168.1.20","CIP","134","'HMI_PLANT_RESET' - Service (0x4d)"
"134","0.015249","192.168.1.10","192.168.1.20","CIP","128","'HMI_P2_PERMISSIVE' - Service (0x4c)"
"135","0.015431","192.168.1.20","192.168.1.10","TCP","64","44818  >  54084 [ACK] Seq=199 Ack=145 Win=8122 Len=0"
"136","0.015443","192.168.1.20","192.168.1.10","TCP","64","44818  >  54084 [ACK] Seq=199 Ack=221 Win=8046 Len=0"
"137","0.015447","192.168.1.20","192.168.1.10","TCP","64","44818  >  54084 [ACK] Seq=199 Ack=291 Win=7976 Len=0"
"138","0.015652","192.168.1.10","192.168.1.30","CIP","128","'HMI_PLANT' - Service (0x4d)"
"139","0.015663","192.168.1.10","192.168.1.30","CIP","128","'HMI_P3_PERMISSIVE' - Service (0x4c)"
"140","0.015667","192.168.1.20","192.168.1.50","CIP","120","'HMI_AIT501' - Service (0x4c)"
"141","0.015675","192.168.1.40","192.168.1.50","CIP I/O","90","Connection: ID=0x014D4024, SEQ=0001636638"
"142","0.015676","192.168.1.30","192.168.1.10","TCP","64","44818  >  54086 [ACK] Seq=153 Ack=217 Win=8122 Len=0"
"143","0.015679","192.168.1.20","192.168.1.50","CIP","120","'HMI_AIT502' - Service (0x4c)"
"144","0.015682","192.168.1.10","192.168.1.40","CIP","132","'HMI_PLANT_AUTO' - Service (0x4d)"
"145","0.015685","192.168.1.30","192.168.1.10","TCP","64","44818  >  54086 [ACK] Seq=153 Ack=287 Win=8052 Len=0"
"146","0.015736","192.168.1.20","192.168.1.50","CIP","120","'HMI_AIT503' - Service (0x4c)"
"147","0.015741","192.168.1.20","192.168.1.50","CIP","120","'HMI_AIT504' - Service (0x4c)"
"148","0.015744","192.168.1.50","192.168.1.20","TCP","64","44818  >  52992 [ACK] Seq=361 Ack=63 Win=8130 Len=0"
"149","0.015830","192.168.1.40","192.168.1.10","TCP","64","44818  >  54088 [ACK] Seq=101 Ack=221 Win=8118 Len=0"
"150","0.015835","192.168.1.50","192.168.1.20","TCP","64","44818  >  52992 [ACK] Seq=361 Ack=125 Win=8068 Len=0"
"151","0.015837","192.168.1.10","192.168.1.50","CIP","134","'HMI_PLANT_RESET' - Service (0x4d)"
"152","0.015840","192.168.1.50","192.168.1.20","TCP","64","44818  >  52992 [ACK] Seq=361 Ack=187 Win=8006 Len=0"
"153","0.015929","192.168.1.50","192.168.1.20","TCP","64","44818  >  52992 [ACK] Seq=361 Ack=249 Win=7944 Len=0"
"154","0.015934","192.168.1.200","192.168.1.20","CIP","112","Class (0xb2) - Service (0x4c)"
"155","0.015937","192.168.1.10","192.168.1.50","CIP","128","'HMI_P5_PERMISSIVE' - Service (0x4c)"
"156","0.015939","192.168.1.50","192.168.1.10","TCP","64","44818  >  54080 [ACK] Seq=51 Ack=215 Win=8116 Len=0"
"157","0.016105","192.168.1.20","192.168.1.200","TCP","64","44818  >  56580 [ACK] Seq=541 Ack=109 Win=8138 Len=0"
"158","0.016111","192.168.1.50","192.168.1.10","TCP","64","44818  >  54080 [ACK] Seq=51 Ack=285 Win=8046 Len=0"
"159","0.016114","192.168.1.10","192.168.1.60","CIP","134","'HMI_PLANT_RESET' - Service (0x4d)"
"160","0.016117","192.168.1.20","192.168.1.60","CIP","148","Success: 'HMI_AIT202' - Service (0x4c)"
"161","0.016120","192.168.1.60","192.168.1.10","TCP","64","44818  >  54082 [ACK] Seq=209 Ack=151 Win=8116 Len=0"
"162","0.016213","192.168.1.10","192.168.1.20","CIP CM","128","Unconnected Send: 'HMI_MV201' - Service (0x4c)"
"163","0.016218","192.168.1.40","192.168.1.10","CIP","108","Success: 'HMI_PLANT_RESET' - Service (0x4d)"
"164","0.016221","192.168.1.60","192.168.1.20","TCP","64","52418  >  44818 [ACK] Seq=63 Ack=181 Win=8102 Len=0"
"165","0.016323","192.168.1.20","192.168.1.10","TCP","64","44818  >  54084 [ACK] Seq=199 Ack=361 Win=8122 Len=0"
"166","0.016329","192.168.1.40","192.168.1.10","CIP","116","Success: 'HMI_P4_PERMISSIVE' - Service (0x4c)"
"167","0.016332","192.168.1.10","192.168.1.60","CIP I/O","90","Connection: ID=0x00334011, SEQ=0001624080"
"168","0.016334","192.168.1.10","192.168.1.50","CIP I/O","90","Connection: ID=0x004D4015, SEQ=0001625154"
"169","0.016406","192.168.1.40","192.168.1.30","CIP","148","Success: 'HMI_LIT401' - Service (0x4c)"
"170","0.016411","192.168.1.10","192.168.1.30","CIP I/O","90","Connection: ID=0x00334010, SEQ=0001624129"
"171","0.016414","192.168.1.10","192.168.1.40","TCP","64","54088  >  44818 [ACK] Seq=221 Ack=151 Win=8142 Len=0"
"172","0.016416","192.168.1.10","192.168.1.40","CIP I/O","90","Connection: ID=0x013D4010, SEQ=0001622875"
"173","0.016607","192.168.1.10","192.168.1.40","TCP","64","54088  >  44818 [ACK] Seq=221 Ack=209 Win=8084 Len=0"
"174","0.016613","192.168.1.30","192.168.1.40","TCP","64","52420  >  44818 [ACK] Seq=63 Ack=91 Win=8102 Len=0"
"175","0.016616","192.168.1.20","239.192.3.127","CIP I/O","102","Connection: ID=0x003C8000, SEQ=0001653660"
"176","0.016621","192.168.1.40","192.168.1.20","CIP","148","Success: 'HMI_AIT402' - Service (0x4c)"
"177","0.016917","192.168.1.20","192.168.1.40","TCP","64","52996  >  44818 [ACK] Seq=63 Ack=91 Win=8102 Len=0"
"178","0.017206","192.168.1.60","192.168.1.200","CIP","598","Success: Class (0xb2) - Service (0x4c)"
"179","0.017448","192.168.1.60","192.168.1.20","CIP I/O","90","Connection: ID=0x01BC401A, SEQ=0001637120"
"180","0.017460","192.168.1.30","192.168.1.60","CIP I/O","90","Connection: ID=0x00B34012, SEQ=0001639435"
"181","0.017940","192.168.1.30","239.192.4.191","CIP I/O","102","Connection: ID=0x00338000, SEQ=0001652857"
"182","0.017954","192.168.1.40","239.192.5.255","CIP I/O","102","Connection: ID=0x003D8000, SEQ=0001651935"
"183","0.018433","192.168.1.60","192.168.1.10","CIP I/O","90","Connection: ID=0x00CD4026, SEQ=0001636942"
"184","0.018446","192.168.1.20","192.168.1.40","CIP I/O","90","Connection: ID=0x00BD4009, SEQ=0001635309"
"185","0.018844","192.168.1.60","239.192.8.127","CIP I/O","102","Connection: ID=0x00338000, SEQ=0001652359"
"186","0.018858","192.168.1.20","192.168.1.30","CIP I/O","90","Connection: ID=0x00B34013, SEQ=0001636075"
"187","0.019697","192.168.1.10","192.168.1.60","CIP","128","'HMI_P6_PERMISSIVE' - Service (0x4c)"
"188","0.019710","192.168.1.50","192.168.1.10","CIP","108","Success: Service (0x4d)"
"189","0.019717","192.168.1.30","192.168.1.20","CIP I/O","90","Connection: ID=0x013C4018, SEQ=0001640423"
"190","0.019719","192.168.1.60","192.168.1.10","TCP","64","44818  >  54082 [ACK] Seq=209 Ack=221 Win=8122 Len=0"
"191","0.019723","192.168.1.10","239.192.2.63","CIP I/O","102","Connection: ID=0x004D8000, SEQ=0001654368"
"192","0.019726","192.168.1.50","192.168.1.10","CIP","116","Success: Service (0x4c)"
"193","0.019857","192.168.1.10","192.168.1.50","TCP","64","54080  >  44818 [ACK] Seq=285 Ack=101 Win=8142 Len=0"
"194","0.019867","192.168.1.50","192.168.1.40","CIP","132","'HMI_RO_HPP_SD' - Service (0x4d)"
"195","0.019870","192.168.1.10","192.168.1.50","TCP","64","54080  >  44818 [ACK] Seq=285 Ack=159 Win=8084 Len=0"
"196","0.019880","192.168.1.50","192.168.1.40","CIP","120","'HMI_UV401' - Service (0x4c)"
"197","0.020110","192.168.1.40","192.168.1.50","TCP","64","44818  >  54084 [ACK] Seq=1 Ack=75 Win=8118 Len=0"
"198","0.020122","192.168.1.40","192.168.1.50","TCP","64","44818  >  54084 [ACK] Seq=1 Ack=137 Win=8056 Len=0"
